step,system_stopped,system_total_timeloss,system_average_timeloss,system_mean_speed,system_total_travel_time,system_average_travel_time
36005.0,0,0.0,0.0,15.890116919124395,0.0,0.0
36010.0,0,0.0,0.0,18.710662967838672,0.0,0.0
36015.0,0,0.0,0.0,20.437383284898658,0.0,0.0
36020.0,0,0.0,0.0,18.912262035795468,0.0,0.0
36025.0,1,0.0,0.0,18.339755298379597,0.0,0.0
36030.0,1,0.0,0.0,19.51785149200887,0.0,0.0
36035.0,1,0.0,0.0,17.232344623116024,0.0,0.0
36040.0,5,0.0,0.0,15.520478495685845,0.0,0.0
36045.0,10,8.400347137518558,8.400347137518558,13.803546683567362,42.0,42.0
36050.0,11,8.400347137518558,8.400347137518558,13.554645259016002,42.0,42.0
36055.0,14,18.170470799569625,9.085235399784812,12.657941473080815,89.0,44.5
36060.0,16,18.170470799569625,9.085235399784812,12.213993948485786,89.0,44.5
36065.0,18,26.53382611177691,8.844608703925637,12.624361157084161,139.0,46.333333333333336
36070.0,17,35.17350036777111,8.793375091942778,11.833161371192668,188.0,47.0
36075.0,19,78.29059659356126,7.829059659356126,10.949563358884733,523.0,52.3
36080.0,24,97.46211882844926,8.121843235704105,10.411812760181109,615.0,51.25
36085.0,28,97.46211882844926,8.121843235704105,9.937007791856644,615.0,51.25
36090.0,32,109.43369481772982,8.417976524440755,9.268469822402169,663.0,51.0
36095.0,33,247.15280086314746,14.53840005077338,8.491914109491978,940.0,55.294117647058826
36100.0,33,302.7538822695128,15.934414856290148,7.721401210409647,1072.0,56.421052631578945
36105.0,39,302.7538822695128,15.934414856290148,7.543260226492173,1072.0,56.421052631578945
36110.0,43,302.7538822695128,15.934414856290148,7.517051662797759,1072.0,56.421052631578945
36115.0,47,310.0048219327405,15.500241096637026,6.37993815858436,1128.0,56.4
36120.0,51,310.0048219327405,15.500241096637026,6.095776963753657,1128.0,56.4
36125.0,57,318.08647822100227,15.14697515338106,5.149939633400787,1171.0,55.76190476190476
36130.0,50,324.20978432332,14.736808378332727,5.50464312570805,1230.0,55.90909090909091
36135.0,46,331.6816305979883,14.4209404607821,6.8991231463846665,1315.0,57.17391304347826
36140.0,41,331.6816305979883,14.4209404607821,8.384456857424025,1315.0,57.17391304347826
36145.0,49,339.17931600607005,14.132471500252919,8.319679631874058,1360.0,56.666666666666664
36150.0,53,655.2292803622568,23.401045727223455,6.999395152068005,1848.0,66.0
36155.0,58,871.3697622152838,26.405144309554053,5.655436045515681,2293.0,69.48484848484848
36160.0,47,908.6117313072335,25.239214758534263,5.908524620021278,2476.0,68.77777777777777
36165.0,36,949.6354918447626,24.349627996019553,8.236761503447742,2651.0,67.97435897435898
36170.0,28,949.6354918447626,24.349627996019553,9.377377517802557,2651.0,67.97435897435898
36175.0,28,949.6354918447626,24.349627996019553,9.718580180832584,2651.0,67.97435897435898
36180.0,29,1137.9767710572494,27.094685025172605,9.378985843476077,2974.0,70.80952380952381
36185.0,34,1419.0144114693514,30.848139379768508,8.555704733650071,3444.0,74.8695652173913
36190.0,39,1631.5818221399827,33.29758820693842,8.688782091103723,3794.0,77.42857142857143
36195.0,47,1793.6654215156889,35.16991022579782,8.389434604872585,4042.0,79.25490196078431
36200.0,56,2055.033602863817,38.05617783081143,8.330593633011445,4445.0,82.31481481481481
36205.0,60,2226.8181814017635,38.39341692072006,7.848613484050915,4798.0,82.72413793103448
36210.0,67,2416.5641135305086,40.27606855884181,7.4202931836807915,5109.0,85.15
36215.0,72,2603.821132740074,41.99711504419474,7.032761144242962,5444.0,87.80645161290323
36220.0,76,2896.8896651521372,42.60131860517849,6.1853580529664525,6147.0,90.3970588235294
36225.0,79,3064.5232947235545,43.16229992568387,5.638070503036123,6455.0,90.91549295774648
36230.0,85,3431.6348940769185,46.37344451455295,4.943754124505462,6986.0,94.4054054054054
36235.0,77,3501.8765478709356,46.69168730494581,5.071100450955497,7116.0,94.88
36240.0,67,3594.7717649611914,46.68534759689859,5.95652581645007,7337.0,95.28571428571429
36245.0,61,3736.673225235483,46.70841531544354,7.230360476279526,7701.0,96.2625
36250.0,62,3825.1046000143815,46.64761707334612,8.04695264550635,7946.0,96.90243902439025
36255.0,69,4018.6393904693073,48.41734205384707,7.994514337188867,8192.0,98.6987951807229
36260.0,67,5120.802929793688,55.66090141080096,7.370857447645908,9773.0,106.22826086956522
36265.0,64,5957.705616086613,60.7929144498634,6.318695981564527,10918.0,111.40816326530613
36270.0,65,6359.658424594761,61.15056177494962,6.134335750434067,11616.0,111.6923076923077
36275.0,65,6432.834840791862,60.687121139545866,6.4907858297287175,11776.0,111.09433962264151
36280.0,68,6514.787753248882,60.32210882637854,6.519625897321296,11947.0,110.62037037037037
36285.0,69,7256.72169300373,62.557945629342505,5.941406791866611,13083.0,112.78448275862068
36290.0,68,7530.796869085219,63.28400730323714,5.623335895765826,13505.0,113.4873949579832
36295.0,72,7864.6906579347715,64.4646775240555,5.762396485983427,13995.0,114.71311475409836
36300.0,69,8025.101958075936,64.71856417803174,5.8949028117673326,14250.0,114.91935483870968
36305.0,67,8399.161251461619,65.10977714311332,6.194995826077416,14858.0,115.17829457364341
36310.0,64,8534.919840764936,64.65848364215861,6.682462059301526,15113.0,114.49242424242425
36315.0,58,8641.11506493601,64.97078996192488,6.979158977349066,15276.0,114.85714285714286
36320.0,55,8678.442241073593,64.28475734128588,7.1677065754669815,15391.0,114.00740740740741
36325.0,57,8712.725417006297,63.596535890556915,7.2886206162185925,15516.0,113.25547445255475
36330.0,60,8712.725417006297,63.596535890556915,7.02565964051549,15516.0,113.25547445255475
36335.0,70,8871.930760596766,64.28935333765773,6.71706207174944,15724.0,113.94202898550725
36340.0,67,8942.51704209528,64.33465497910274,6.72887365674861,15839.0,113.94964028776978
36345.0,66,8942.51704209528,64.33465497910274,7.495160726466567,15839.0,113.94964028776978
36350.0,61,9245.188773677328,65.10696319491076,8.056103817225114,16317.0,114.90845070422536
36355.0,68,9707.72155603,66.49124353445205,8.533728932576574,17054.0,116.8082191780822
36360.0,61,10105.893510840742,66.92644709166055,9.151621431014673,17774.0,117.70860927152317
36365.0,67,11240.8773673937,69.81911408319068,9.095657475294374,19521.0,121.24844720496894
36370.0,65,11822.399053062445,71.6509033518936,8.989723803797311,20331.0,123.21818181818182
36375.0,56,12790.018793494333,74.360574380781,8.498123818678847,21668.0,125.97674418604652
36380.0,58,13141.094250445458,73.8263721935138,8.110319163190837,22312.0,125.34831460674157
36385.0,63,13568.863902785786,73.7438255586184,7.565284165862604,23135.0,125.7336956521739
36390.0,62,13901.202830560564,74.337983051126,7.851046731570182,23608.0,126.24598930481284
36395.0,55,13939.706964190003,74.14737746909576,7.977247111697173,23743.0,126.29255319148936
36400.0,61,15166.210205278021,77.7754369501437,7.343205804657694,25365.0,130.07692307692307
36405.0,72,16103.345831142135,80.9213358348851,7.162301019409261,26555.0,133.44221105527637
36410.0,79,16709.05690372095,81.90714168490662,6.4439008081125655,27564.0,135.11764705882354
36415.0,85,18241.9107076461,84.4532903131764,5.189843129361031,29880.0,138.33333333333334
36420.0,86,18738.842507418896,85.17655685190407,4.602836669136617,30632.0,139.23636363636365
36425.0,91,19028.03861967699,84.56906053189773,4.081165227505978,31205.0,138.6888888888889
36430.0,86,19181.795595147472,84.13068243485733,4.020084843562319,31484.0,138.08771929824562
36435.0,81,19193.09812738848,83.448252727776,4.451976743174022,31572.0,137.26956521739132
36440.0,79,19193.09812738848,83.448252727776,4.849735748591849,31572.0,137.26956521739132
36445.0,78,19199.853302850832,83.11624806428931,4.887072987838402,31615.0,136.86147186147187
36450.0,71,19235.000285201946,82.90948398793942,4.711987241501645,31696.0,136.6206896551724
36455.0,55,19235.000285201946,82.90948398793942,6.152073334755648,31696.0,136.6206896551724
36460.0,50,19235.000285201946,82.90948398793942,7.797366227763755,31696.0,136.6206896551724
36465.0,46,19367.120801724497,83.12069013615664,8.68119510179277,31884.0,136.8412017167382
36470.0,50,19529.457489279917,83.45922003965777,9.424821097216103,32103.0,137.19230769230768
36475.0,56,20374.014029552418,84.53947730104738,9.581695949759135,33299.0,138.1701244813278
36480.0,59,21083.74869132594,84.33499476530376,9.738472557840701,34465.0,137.86
36485.0,59,21975.512686038153,84.84753932833264,9.085800396231097,35858.0,138.44787644787644
36490.0,57,22861.245940273766,85.30315649355883,8.367186579114534,37285.0,139.12313432835822
36495.0,57,23455.907916637065,85.29421060595297,8.364109734105913,38266.0,139.14909090909092
36500.0,59,24212.553474743807,86.16567072862564,8.172223069887151,39349.0,140.03202846975088
36505.0,59,24920.786318132752,87.13561649696767,8.00819516213001,40307.0,140.93356643356643
36510.0,59,25340.510900320227,87.38107207006975,7.825796010625571,40989.0,141.34137931034482
